Item No.,Item No. on PDCA,Car Maker,Car Model,Line,Findings,Items to Check/Action,Department,Person in Charge,Status,Target Date,,,
16,23,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,Dirty connector jig,Request to conduct 5S,PRODUCTION,A. De Guzman,CLOSED,20-Apr-23,,,
17,23,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,Dirty connector jig,Request to conduct 5S,PRODUCTION,A. De Guzman,CLOSED,,,,
18,2,SUZUKI,YD1 DOOR,5135,No good height of the assy jig,"Coordinate to PE-MPPD1

Answer: Based on checking, the height and level of harness are good. No need to change jig height/combine.",PE-BAE (ASSY DEV),K. De Grano,CLOSED,17-Jul-23,,,
19,6,SUZUKI,YD1 DOOR,5135,No provide ebag on assy process.,Already requested.,PRODUCTION,,CLOSED,,,,
20,8,SUZUKI,YD1 DOOR,5135,Not updated running product,Always update running product,PRODUCTION,J. Atienza,CLOSED,17-Jul-23,,,
21,11,SUZUKI,YD1 DOOR,5135,Some jigs are not pokayoke,"Verify jigs need to change to pokayoke

Answer: No need to change common jig to assy jig, there is no history of defects encountered. Jigs (junction to connector) measurementt are also verified.",PE-BAE (ASSY DEV),K. De Grano,CLOSED,17-Jul-23,,,
22,8,SUZUKI,YD1 BTRY/CURTAIN AB/ FR FOG LP/ DOME LAMP,5018,No available e-bag on the process,follow up in supplies,PRODUCTION,J. Catipan,CLOSED,03-Jul-23,,,
23,13,SUZUKI,YD1 BTRY/CURTAIN AB/ FR FOG LP/ DOME LAMP,5018,Associate do not comply on standard process of locking retainer.,Re-orient associate on standard way of locking retainer.,PRODUCTION,J. Catipan,CLOSED,03-Jul-23,,,
24,23,HONDA,TKRA Eng,3129,NG Pulling Strength,"Request to change newton settings for AEE connector jig 6.6-7.6 Newton on Sub 05

Good: 7.5-8.5N.m
NG: 9.5-10.5N.m
Result:
Good: 8.2N.m
NG: 10.1N.m",PE-EQ-FINAL,EQ-PM-FINAL,CLOSED,15-Jul-23,,,
25,13,MAZDA,J30A,1135,Associate did not conduct checking of wire condition of grommet,Orient associate to conduct checking of wire condition on grommet,PRODUCTION,J. Dimaculangan,CLOSED,7-Feb-23,,,
26,14,MAZDA,J30A,1135,Displayed applicable product on sub is not tally on the running product,Conduct orientation that displayed applicable product on sub must be tally on the running product,PRODUCTION,J. Dimaculangan,CLOSED,2-Jul-23,,,
27,15,MAZDA,J30A,1135,Associate did not conduct lightly pulling of grommet and checking if comes off,Conduct orientation to conduct lightly pulling of grommet and check of comes off,PRODUCTION,J. Dimaculangan,CLOSED,7-Feb-23,,,
28,16,MAZDA,J30A,1135,Not updated OI (all process),Post updated OI,ME-NPI (MPPD),A. Dimaano,CLOSED,7-Feb-23,,,
29,17,MAZDA,J30A,1135,No nameplate holder,Provide nameplate holder,PE-FABRICATION,M. Carandang,CLOSED,13-Feb-23,,,
30,19,MAZDA,J30A,1135,"Damaged, wrong color and missing E-tanmatsu on all assyboard with different portion","1. Request to provide E-tanmatsu.
2. Request to repair and change the damaged and wrong color of tanmatsu used.",PE-BAE (Maintenance),Shawn,CLOSED,31-Jul-23,,,
31,20,MAZDA,J30A,1135,No provided wire damaged prevention jig installed on assy jig (breaking jig) on all assyboards - different portions and branch, Request to provide protective cover on jigs with missing cover. (other boards have cover on the same jig),PE-BAE (Maintenance),Shawn,CLOSED,TBA (For confirmation of budget),,,
32,21,MAZDA,J30A,1135,Associate did not follow standard on performing the clamp fixing work,Conduct orientation on proper taping method on clamp fixing,PRODUCTION,J. Dimaculangan,CLOSED,7-Feb-23,,,
33,23,MAZDA,J30A,1135,Associate is not knowledgeable regarding indication of twice pulling on board,Conduct orientation regarding indication of twice pulling on board,PE-BAE (Maintenance),Shawn,CLOSED,31-Jul-23,,,
34,24,MAZDA,J30A,1135,Lay-out associate is unaware on bending frequency.,Conduct orientation for wire bending frequency,PRODUCTION,J. Dimaculangan,CLOSED,7-Feb-23,,,
35,27,MAZDA,J30A,1135,Damaged wing on ECT Process,Request to repair damaged wing of checker on ECT,PE-BAE (Maintenance),Shawn,CLOSED,31-Jul-23,,,
36,28,MAZDA,J30A,1135,No sequence on Option Tape box,Provide sequence on Option,ME-NPI (MPPD),A. Dimaano,CLOSED,7-Feb-23,,,
37,29,MAZDA,J30A,1135,"OI of grommet must not contain the following:

1. expansion diameter
2. good and no good status of grommet
3. wire biting
4. grommet fixing tape wound about 50mm",Revision of OI,ME-NPI (MPPD),A. Dimaano,CLOSED,7-Feb-23,,,
38,30,MAZDA,J30A,1135,Associate is not aware regarding checking of grommet stamp on Appearance process,Conduct orientation on checking of grommet stamp,PE-BAE (Maintenance),Shawn,CLOSED,31-Jul-23,,,
39,15,MAZDA,J30A,1137,'No good arrangement of parts based on WI ,Arrange parts based on WI and conduct orientation,PRODUCTION,J. Dimaculangan,CLOSED,2-Jul-23,,,
40,29,MAZDA,J30A,1137,Associate is not aware that terminal have an electric wire within 10mm ,Conduct orientation  that terminal have an electric wire within 10mm ,PRODUCTION,J. Dimaculangan,CLOSED,2-Jul-23,,,
41,3,DAIHATSU,D18B DOOR,2120,"No displayed of applicable running product
(Sub-assy)",Provision of Product Label for applicable running product ,PE-FABRICATION,K. Marquez,CLOSED,29-Mar-23,,,
42,7,DAIHATSU,D18B ENGINE,2114,"One set supply box not match on parts storage shelf
(Parts Distribution)",Re-arrange tupperbox and conduct orientation regarding the sequence of tupperbox.,PRODUCTION,J. Reyes,CLOSED,17-Apr-23,,,
43,27,DAIHATSU,D18B ENGINE,2114,Connector storage box is not located on top,Request to provide flatform for connector storage box,PRODUCTION,J. Reyes,CLOSED,11-Jul-23,,,
44,1,DAIHATSU,"D54L/D83A
ENGINE",2117,Request to orient all sub assy and lay out associate regarding wire bending frequency.,Re-orient associate regarding bening frequency.,PRODUCTION,K. Marquez,CLOSED,12-Jul-23,,,
45,7,SUZUKI,YSB INPANEL,5113,"Not following Up, Down, Left, Right sequence on parts box  at parts supply station.",Arrange tupperbox base on sequence on parts box.,PRODUCTION,A. De Guzman,CLOSED,13-Apr-23,,,
46,10,SUZUKI,YSB INPANEL,5113,Assembly associates not using E-bag.,Request E-bag for all Assembly associates.,PRODUCTION,A. De Guzman,CLOSED,5-Jun-23,,,
47,11,SUZUKI,YSB INPANEL,5113,Some sub assy associate not aware on bending frequency,Orient all sub associate about bending frequency,PRODUCTION,A. De Guzman,CLOSED,13-Apr-23,,,
48,12,SUZUKI,YSB INPANEL,5113,Too much dust on connector jig.,Clean connector jig.,PRODUCTION,A. De Guzman,CLOSED,13-Apr-23,,,
49,13,SUZUKI,YSB INPANEL,5113,No Updated SOT on assy process.,Request to update SOT on assy process.,ME-NPI (MPPD),,CLOSED,7-Mar-23,,,
50,15,SUZUKI,YSB INPANEL,5113,No good Vinyl cover on shiage board.,Request to change vinyl cover.,PRODUCTION,A. De Guzman,CLOSED,7-Jun-23,,,
51,26,SUZUKI,YSB INPANEL,5113,Damaged label of option box.,Request to provide label of option box,PRODUCTION,A. De Guzman,CLOSED,6-Jul-23,,,
52,28,SUZUKI,YSB INPANEL,5113,Ran out of tape,Orient associate when encountered lacking parts always call the attention of assign Jr.staff and expert,PRODUCTION,A. De Guzman,CLOSED,15-Apr-23,,,
53,31,SUZUKI,YSB INPANEL,5113,Not following OI on option (105-E).Did not perform step 5.1,Orient option associate step by step on OI.,PRODUCTION,A. De Guzman,CLOSED,15-Apr-23,,,
54,5,SUZUKI,YT3 Floor,5136,Need to replace OI in Shiage,"Request to provide OI on Shiage
",ME-NPI (MPPD),E. Cometa,CLOSED,,,,
55,8,SUZUKI,YT3 Floor,5136,Associate did not follow the mounting direction and jig setting method  of grommet.,Update OI,ME-NPI (MPPD),E. Cometa,CLOSED,17-Jul-23,,,
56,9,SUZUKI,YT3 Floor,5136,Associate is not aware on fixing taping on grommet tail.,Update OI,ME-NPI (MPPD),E. Cometa,CLOSED,17-Jul-23,,,
57,11,SUZUKI,YT3 Floor,5136,"Loose jigs on assyboard
(Assembly)

1. Board 6 conn.28,136
2. Board 7 dummy jig 40
3. Board 7 conn 15,16
4. Board 6 clamp jig 34
5. Board 2 bending conn.28
6. Board 2 conn. 36
7. Board 3. conn. 28",Request for the immediate repair of jigs to AME,PE-BAE (Maintenance),S. Magsino,CLOSED,17-Jul-23,,,
58,13,SUZUKI,YT3 Floor,5136,Associate is not aware regarding the proper orientation of terminal insertion,Re-orient associate about the standard terminal insertion,PRODUCTION,E. Cometa,CLOSED,17-Jul-23,,,
59,16,SUZUKI,YT3 Floor,5136,Associate did not comply on the standard way of electric wires storation,Re-orient associate about the rules,PRODUCTION,E. Cometa,CLOSED,17-Jul-23,,,
60,22,SUZUKI,YT3 Floor,5136,Associate is not aware on twice pulling method for terminal that is not guaranteed to be pulled out,Re-orient associate regarding the twice pulling method,PRODUCTION,E. Cometa,CLOSED,17-Jul-23,,,
61,23,SUZUKI,YT3 Floor,5136,Associate did not comply on the 10mm away from finger rule  ,Re-orient associate regarding the 10mm away from finger rule,PRODUCTION,E. Cometa,CLOSED,17-Jul-23,,,
62,24,SUZUKI,YT3 Floor,5136,Associate is not aware about the standard bending frequency ,Re-orient associate regarding bending frequency,PRODUCTION,E. Cometa,CLOSED,17-Jul-23,,,
63,25,SUZUKI,YT3 Floor,5136,Associate do not understand the precautions when inserting the wire terminal,Re-orient associate regarding the precautions during wire terminal insertions,PRODUCTION,E. Cometa,CLOSED,17-Jul-23,,,
64,27,SUZUKI,YT3 Floor,5136,Associate is not aware on what to do with a product that is NG but no red tag,Re-orient associate about the missing red tag on NG products,QA-Final ,E. Cometa,CLOSED,17-Jul-23,,,
65,29,SUZUKI,YT3 Floor,5136,Associate is not aware on proper sequence of option process.,Re-orient associate regarding to their work scope and method,PRODUCTION,E. Cometa,CLOSED,17-Jul-23,,,
66,2,SUZUKI,YKC Floor,5111,No Tupperbox holder on Sub 5,Request to install tupper box holder on left side of sub PC,PE-FABRICATION,M. Carandang,OPEN,,,,
67,19,SUZUKI,YKC Floor,5111,Narrow design of wire catcher on assembly board,Request to widen wire catcher on assembly board,PE-FABRICATION,M. Carandang,OPEN,,,,
68,27,SUZUKI,YKC Floor,5111,Missing tapebox on option taping process,Request replacement of missing tapebox on Option taping process ,PE-FABRICATION,M. Carandang,OPEN,,,,
69,36,SUZUKI,YKC Floor,5111,NG Wire catchers on Sub Assy,Request to repair NG wire catchers,PE-FABRICATION,M. Carandang,OPEN,,,,
70,3,SUZUKI,Y3J Small,5138,Damaged wire catcher,Repairing of damaged wire catcher,PE-FABRICATION,M. Carandang,OPEN,,,,
71,2,SUZUKI,DR DOOR,5139,No vinyl cover for the hanger wires,Request for a vinyl cover,PE-FABRICATION,,OPEN,,,,
72,10,SUZUKI,DR DOOR,5139,"Transfer the location of bando gun holder, it may cause of worn out label",Request to transfer the location of bando gun holder,PE-FABRICATION,,OPEN,,,,
73,19,SUZUKI,DR DOOR,5139,Revision of SOT on Assembly,Ongoing revision of SOT,ME-NPI (MPPD),Aisa,For confirmation,28-Jul-23,,,
74,22,SUZUKI,DR DOOR,5139,NG option box,Request to repair NG option box,PE-FABRICATION,,OPEN,,,,
75,25,SUZUKI,DR DOOR,5139,Inspector is not aware regarding inspection of grommet stamp,Orient the visual inspection item for grommet stamp,QA-Final ,,OPEN,,,,
76,30,SUZUKI,DR DOOR,5139,Damaged e-tanmatsu,Request to repair NG e-tanmatsu ,PE-FABRICATION,,OPEN,,,,
77,32,SUZUKI,DR DOOR,5139,Appearance inspector is not aware regarding inspection standard,Orentation on appearance inspector for awareness on inspection standard,QA-Final ,,OPEN,,,,
78,5,SUZUKI,YSA,5114,Modified wire hanger,Request to modified wire hanger on sub assy,PE-FABRICATION,,OPEN,,,,
79,9,SUZUKI,YSA,5114,NG Parts label on parts box,Request to repair the label of parts box,PE-FABRICATION,,OPEN,,,,
80,10,SUZUKI,YSA,5114,NG Parts box,Request to change NG parts box ,PE-FABRICATION,,OPEN,,,,
81,21,SUZUKI,YSA,5114,Same conn.on dimension table need to provide picture,Request to provide picture of same conn. in dimension table,QA-Final ,,OPEN,,,,
82,22,SUZUKI,YSA,5114,Acrylic indication tolerance in dimension table,Request to provide acrylic indication tolerance in dimension process.,QA-Final ,,OPEN,,,,
83,26,SUZUKI,YSA,5114,Color sensor for same connector,Request to provide color sensor for same connector on ect ,PE-EQ-FINAL,,OPEN,"For confirmation of QA for the budget 
of color sensor",,,
84,39,SUZUKI,YSA,5114,No cover Jig in all boards,Request to provide cover in all jigs,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
85,47,SUZUKI,YSA,5114,NG jigs in option board,Jig Verification,PE-BAE (Maintenance),Shawn,OPEN,14-Aug-23,,,
86,3,SUZUKI,YD1 Battery,5009,No bendable cover for all bendble jig,Request to put bendable cover in all bendable jig ,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
87,4,SUZUKI,YD1 Battery,5009,No available ebag,Request to provide ebag,PRODUCTION,,OPEN,,,,
88,5,SUZUKI,YD1 Battery,5009,Advance attachment of component,Request to include the advance attachment of component on SOT since different component attached on harness,ME-NPI (MPPD),April,OPEN,21-Jul-23,,,
89,8,SUZUKI,YD1 Battery,5009,No proper handling of harness,Need to orient regarding proper handling of harness,PRODUCTION,,OPEN,,,,
90,9,SUZUKI,YD1 Battery,5009,Operator is not aware that insertion of shikakari should be 10mm far from finger of operator ,Need to orient regarding distance of holding shikakari,PRODUCTION,,OPEN,,,,
91,10,SUZUKI,YD1 Battery,5009,Operator is not aware about allowable bending frequency of wires,Need to orient regarding allowable bending frequency of wires,PRODUCTION,,OPEN,,,,
92,11,SUZUKI,YD1 Battery,5009,Operator is not aware of proper checking of nameplate and taping,Need to orient regarding proper checking of nameplate and taping,PRODUCTION,,OPEN,,,,
93,4,SUZUKI,YLP,5121, To improve Wire Catcher,Request to fix the damaged catchers,PE-FABRICATION,M. Carandang,OPEN,,,,
94,5,SUZUKI,YLP,5121,Removal of SPJ,To request removal of SPJ and change to receiving jig,PE-BAE (ASSY DEV),K. De Grano,OPEN,19-Jul-23,,,
95,8,SUZUKI,YLP,5121,Improve Sub Hanger on Sub 5,For request to improve sub hanger,PE-FABRICATION,,OPEN,,,,
96,15,SUZUKI,YLP,5121,Improve vinyl sheet,To improve vinyl sheet due to having risk on terminal deformation,PE-FABRICATION,,OPEN,,,,
97,17,SUZUKI,YLP,5121,Not fix dispenser tape on Option Process, For request to fix tape box on Option Process,PE-FABRICATION,,OPEN,,,,
98,19,SUZUKI,YLP,5121,"Insufficient details on OI of grommet
a. Name of grommet
b. Expansion diameter
c. Wire biting
d. Fixing tape (rolling tape) wound","Revision of Operation Instruction and include below item:

a. Name of grommet
b. Expansion diameter
c. Wire biting
d. Fixing tape (rolling tape) wound",ME-NPI (MPPD),April,OPEN,28-Jul-23,,,
99,29,SUZUKI,YLP,5121,No joint hanger on layout,Request to provide joint hanger ,PE-FABRICATION,M. Carandang,OPEN,,,,
100,33,SUZUKI,YLP,5121,Not tally MP of SOT in actual,Tally MP to SOT,PRODUCTION,K. Sangalang,OPEN,,,,
101,1,SUZUKI,YKC ,5130,Parts without label,Label on tupperbox,PE-FABRICATION,,OPEN,,,,
102,3,SUZUKI,YKC ,5130,No sample coonector picture,Connector picture,PE-FABRICATION,,OPEN,,,,
103,7,SUZUKI,YKC ,5130,"Wrong label of connector
OK: DSL-4FB-B NG: DSL-4F-B",Connector label,PE-FABRICATION,,OPEN,,,,
104,9,SUZUKI,YKC ,5130,No cover for clamp jig and connector jig,Provide bendable cover jig,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
105,10,SUZUKI,YKC ,5130,Loose jigs,Repairing of loose jigs,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
106,11,SUZUKI,YKC ,5130,Missing S-pin,Provide missing S-pin,PE-BAE (Maintenance),Shawn,OPEN,28-Aug-23,,,
107,5,SUZUKI,YOC,5121,Unfix Bukumi  Board 2,Fix the bukumi board,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
108,23,SUZUKI,YOC,5121,Unfixed tupper box for similar parts,Request to fix the tupper box of similar parts far from each other,PE-FABRICATION,M. Carandang,OPEN,,,,
109,26,SUZUKI,YOC,5121,"Insufficient details on OI, below items are not included;
(a) Good and no good attachment condition of grommet
(b) Wire biting","Revision of OI on Bukumi 
(Inclusion of Good and NG status of grommet and wire biting)",ME-NPI (MPPD),Aisa,OPEN,28-Jul-23,,,
110,31,SUZUKI,YOC,5121,Number of Manpower in inspection is not tally in process design,"1. Confirmation of process design
2. Follow manpower count in inspection process",PRODUCTION,,OPEN,,,,
111,6,SUZUKI,XF273,5015,No master sample on dummy plug for connector JMWT-SB-6F-R,Provide master sample of connector for dummy plug,PE-EQ-FINAL,,OPEN,,,,
112,9,SUZUKI,XF273,5015,No connector name and picture label on sub assy jig and tupper box ,Provide connector name and picture label,PE-FABRICATION,,OPEN,,,,
113,10,SUZUKI,XF273,5015,No label on Tupper Box,Provide proper label on tupper box,PE-FABRICATION,,OPEN,,,,
114,2,SUZUKI,YD1 Inp,5117,Foreign material found on sub 12,Conduct 5S,PRODUCTION,M. Ramos,OPEN,,,,
115,3,SUZUKI,YD1 Inp,5117, Same type and color of connector set in the same sub assy,Put tupperbox besides conector,PRODUCTION,M. Ramos,OPEN,,,,
116,4,SUZUKI,YD1 Inp,5117,Loose jig on conn 135 and 136 board 17,Request to change all loose lockset on assy board,PRODUCTION,M. Ramos,OPEN,,,,
117,5,SUZUKI,YD1 Inp,5117,Unused clamp jig at assembly board (CLAMP 11),Request to remove unused jigs,PRODUCTION,M. Ramos,OPEN,,,,
118,6,SUZUKI,YD1 Inp,5117,Not updated/Lacking OI on assy board,OI Posting,ME-NPI (MPPD),April,OPEN,17-Jul-23,,,
119,8,SUZUKI,YD1 Inp,5117,Broken protective cover on Sub 17,Repair wire catcher on sub assy,PE-FABRICATION,,OPEN,07/17/2023,,,
120,9,SUZUKI,YD1 Inp,5117,Missing bendable covers for Board 7 and Board 5,"Install bendable cover jig 
(Lacking budget)",PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
121,10,SUZUKI,YD1 Inp,5117,"Missing OI on Assy,
Not updated OI on ECT,
Faded OI in Shiage",Post the updated OI in Line,ME-NPI (MPPD),April,OPEN,17-Jul-23,,,
122,11,SUZUKI,YD1 Inp,5117,"Operator is not aware of ""UP-DOWN-LEFT-RIGHT"" pattern of putting components on component box",Re-orient associate on standard way of putting parts on component box. Re-arrange tupper on parts shelves.,PE-FABRICATION,,OPEN,07/17/2023,,,
123,12,SUZUKI,YD1 Inp,5117,Damaged tanmatsu,Replace damaged tanmatsu,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
124,13,SUZUKI,YD1 Inp,5117,Operator sometimes perform airworking instead of using the jig,Re-orient associate on standard way of attaching VS.,PRODUCTION,L. Cadiz,OPEN,,,,
125,14,SUZUKI,YD1 Inp,5117,"Operator is not following the standard way of attaching VS.

(press from middle to both ends)",Re-orient associate on standard way of attaching VS.,PRODUCTION,L. Cadiz,OPEN,,,,
126,16,SUZUKI,YD1 Inp,5117,Manpower on dimension inspection do not match process design,Provide workload division on dimension inspection,QA-Final ,,OPEN,,,,
127,17,SUZUKI,YD1 Inp,5117,Lacking checker jig wings on ECT,Install lacking checker jig wngs on ECT,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
128,18,SUZUKI,YD1 Inp,5117,"Manpower on option taping do not match process design

Process design: 2
Actual: 1",Verify manpower allocation,PRODUCTION,L. Cadiz,OPEN,,,,
129,19,SUZUKI,YD1 Inp,5117,No label for tapebox on option,Provide correct label for tape box on option,PE-FABRICATION,,OPEN,,,,
130,20,SUZUKI,YD1 Inp,5117,The worker is the one getting the tape whenever it runs out during work,Re-orient associate to call Jr. Staff when tape runs out during process,PRODUCTION,L. Cadiz,OPEN,,,,
131,21,SUZUKI,YD1 Inp,5117,Worker is not aware regarding rounds of taping on Option Taping process.,Re-orient associate regarding the standard way of taping rounds on Option Process.,PRODUCTION,L. Cadiz,OPEN,,,,
132,22,SUZUKI,YD1 Inp,5117,"Manpower on appearance inspection do not match process design

Process design: 3
Actual: 1",Verify manpower allocation,PRODUCTION,L. Cadiz,OPEN,,,,
133,23,SUZUKI,YD1 Inp,5117,No indication of workload division on Appearance Inspection,Provide workload division on Appearance Inspection,QA-Final ,,OPEN,,,,
134,5,SUZUKI,YD1 Merge,5120,Slightly bend jig on clamp 19 & loose clamp 2 on board 5,Request to repair all NG jigs,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
135,7,SUZUKI,YD1 Merge,5120,Lacking wire catcher on assy board,Request to install wire catcher.,PE-FABRICATION,,OPEN,,,,
136,8,SUZUKI,YD1 Merge,5120,Loose lockset on assy board,Request to change all loose lockset on assy board.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
137,9,SUZUKI,YD1 Merge,5120,All board does not have assy jig cover,Request to install cover to all assembly jigs. (Lacking Budget),PE-BAE (Maintenance),,OPEN,,,,
138,10,SUZUKI,YD1 Merge,5120,No/ Wrong connector picture label on sub assy jig.,Provide the correct connector picture label on sub assy jig,PE-FABRICATION,,OPEN,,,,
139,11,SUZUKI,YD1 Merge,5120,Terminals that are not inserted into the connector are not properly contained in the wire catcher. ,Re-orient associate to use the wire catcher properly.,PRODUCTION, M. Ramos,OPEN,,,,
140,12,SUZUKI,YD1 Merge,5120,Foreign materials inside the tupper box.,Conduct 5S,PRODUCTION, M. Ramos,OPEN,,,,
141,13,SUZUKI,YD1 Merge,5120,Associate is not checking the condition of wire after inserting on the grommet. ,Re-orient associate to check the condition of wire after inserting on the grommet. ,PRODUCTION, M. Ramos,OPEN,,,,
142,14,SUZUKI,YD1 Merge,5120,No running product label on sub PC.,Provide running product label on sub PC,PRODUCTION, M. Ramos,OPEN,,,,
143,15,SUZUKI,YD1 Merge,5120,"Grommet expansion diameter, Good and No Good criteria of grommet inner mounting, 50mm rolling down tape (fixing taping), and precautions of wire biting not indicated in OI.",Update OI,ME-NPI (MPPD),April,OPEN,31-Jul-23,,,
144,16,SUZUKI,YD1 Merge,5120,Not all jigs are pokayoke,Acceptable due to No Budget,PE-BAE (ASSY DEV),K. De Grano,Lack of budget,19-Jul-23,,,
145,17,SUZUKI,YD1 Merge,5120,Parts on tupperbox not tally on actual,Orientation to parts associate about filling up of parts on tupperbox must be tally on label and actual. Arrange tupper box on parts shelves.,PE-FABRICATION,,OPEN,,,,
146,18,SUZUKI,YD1 Merge,5120,Confirm the jig height if have difficulty on process that can affect the dimension.,Verify the jig height on Assy boards.,PE-BAE (ASSY DEV),,OPEN,,,,
147,19,SUZUKI,YD1 Merge,5120,Lacking lockset,Provide lockset.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
148,20,SUZUKI,YD1 Merge,5120,"Associate is not aware on bending frequency.
0.13 & 0.22 - 1x bending is already NG
0.35 - 1x bending is allowed",Re-orient associate on bending frequency.,PRODUCTION, M. Ramos,OPEN,,,,
149,21,SUZUKI,YD1 Merge,5120,Not all assembly associates wearing E-bag,Completion of E-bag request for all new MP and old MP with missing/ NG E-Bag.,PRODUCTION, M. Ramos,OPEN,,,,
150,23,SUZUKI,YD1 Merge,5120,Damaged checker jig wings (connector 4),Repir damaged checker jig wings.,PE-BAE (Maintenance),Shawn,OPEN,21-Aug-23,,,
151,24,SUZUKI,YD1 Merge,5120,Damaged wire catcher (sub 1),Repair damaged wire catcher,PE-FABRICATION,,OPEN,,,,
152,25,SUZUKI,YD1 Merge,5120,Lacking connector picture label on Sub PC,Provide conector picture label on Sub Assy jig.,PE-FABRICATION,,OPEN,,,,
153,26,SUZUKI,YD1 Merge,5120,Lacking/No OI posted on Line.,Post the updated OI in Line.,ME-NPI (MPPD),April,OPEN,21-Jul-23,,,
154,27,SUZUKI,YD1 Merge,5120,Dirty checker jigs on ECT,Conduct 5S,PRODUCTION, M. Ramos,OPEN,,,,
155,28,SUZUKI,YD1 Merge,5120,Associate is not following standard way of inspecting grommet,Re-orient associate on proper way of inspecting grommet.,QA-Final ,,OPEN,,,,
